temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
6,2,"Desde que estamos juntos, de Melendi",David Amor,4,4,4,4,4,,8.0,16 (4),0,Desde que estamos juntos,Melendi,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,3,"Baby Don't Forget my Number y Girl You Know It's True, de Fab Morvan con David Fernández como Rob Pilatus (Milli Vanilli)",David Amor,4,4,4,4,4,,8.0,16 (4),0,Baby Don't Forget my Number y Girl You Know It's True,Fab Morvan con David Fernández como Rob Pilatus (Milli Vanilli),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,4,"I'm Too Sexy, de Richard Fairbrass (Right Said Fred)",David Amor,4,7,6,7,6,,12.0,24 (6),0,I'm Too Sexy,Richard Fairbrass (Right Said Fred),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,5,"D'Artacán y los tres mosqueperros, de D'Artacán (D'Artacán y los tres mosqueperros)",David Amor,5,5,5,5,5,,10.0,20 (5),0,D'Artacán y los tres mosqueperros,D'Artacán (D'Artacán y los tres mosqueperros),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,6,"Mambo No. 5, de Lou Bega",David Amor,11,6,5,6,5,,12.0,28 (7),0,Mambo No. 5,Lou Bega,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,7,"Arriquitaun, de Lain",David Amor,6,4,4,4,4,,8.0,18 (4),0,Arriquitaun,Lain,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,8,"Mi agüita amarilla, de Pablo Carbonell (Los Toreros Muertos) (Training VIP)",David Amor,4,4,4,4,4,,8.0,16 (4),0,Mi agüita amarilla,Pablo Carbonell (Los Toreros Muertos) (Training VIP),Training,España,Galicia,Salceda de Caselas,M,37,Humorista
6,9,"Sangre caliente, de Kiko Rivera (Training VIP)",David Amor,4,5,5,7,5,,10.0,21 (5),0,Sangre caliente,Kiko Rivera (Training VIP),Training,España,Galicia,Salceda de Caselas,M,37,Humorista
6,10,"Sopa de caracol, de Julio Ardón (Banda Blanca)",David Amor,9,7,12,9,10,,20.0,37 (10),0,Sopa de caracol,Julio Ardón (Banda Blanca),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,11,"Tarzan Boy, de Jimmy McShane (Baltimora)",David Amor,4,4,4,4,4,,8.0,16 (4),0,Tarzan Boy,Jimmy McShane (Baltimora),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,12,"Que se mueran los feos, de Antonio Miquel Cervero ""Leslie"" (Los Sírex)",David Amor,4,5,4,5,6,,10.0,18 (4),0,Que se mueran los feos,"Antonio Miquel Cervero ""Leslie"" (Los Sírex)",,España,Galicia,Salceda de Caselas,M,37,Humorista
6,13,"Bailaré sobre tu tumba, de Miguel Costas (Siniestro Total)",David Amor,6,5,6,6,7,,12.0,23 (5),0,Bailaré sobre tu tumba,Miguel Costas (Siniestro Total),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,14,"Hotline Bling, de Drake",David Amor,4,4,6,6,5,,10.0,20 (5),0,Hotline Bling,Drake,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,15,"Velaske, yo soi guapa?, de Margarita de Austria y Diego Velázquez (Playground Fire) (Dos en uno)",David Amor,8,7,7,8,7,,14.0,30 (7),0,"Velaske, yo soi guapa?",Margarita de Austria y Diego Velázquez (Playground Fire) (Dos en uno),Dos,España,Galicia,Salceda de Caselas,M,37,Humorista
6,16,"A-ba-ni-bi, de Izhar Cohen",David Amor,5,7,5,7,4,,9.0,24 (5),0,A-ba-ni-bi,Izhar Cohen,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,17,"Échame la culpa, de Luis Fonsi con Adriana Abenia como Demi Lovato (Trae un amigo)",David Amor,4,4,5,6,5,,10.0,19 (5),0,Échame la culpa,Luis Fonsi con Adriana Abenia como Demi Lovato (Trae un amigo),Trae un amigo,España,Galicia,Salceda de Caselas,M,37,Humorista
6,18,"Arriba y abajo, de Coyote Dax",David Amor,4,4,4,4,5,,9.0,16 (4),0,Arriba y abajo,Coyote Dax,,España,Galicia,Salceda de Caselas,M,37,Humorista
6,19,"Do You Remember Rock 'n' Roll Radio?, de Joey Ramone (Ramones)",David Amor,11,5,5,5,8,,13.0,26 (5),0,Do You Remember Rock 'n' Roll Radio?,Joey Ramone (Ramones),,España,Galicia,Salceda de Caselas,M,37,Humorista
6,1,"That Don't Impress Me Much, de Shania Twain",Lucía Jiménez,6,6,7,5,6,,12.0,24 (6),0,That Don't Impress Me Much,Shania Twain,,España,Castilla y León,Segovia,F,39,Cine
6,2,"Cómo hablar, de Eva Amaral (Amaral)",Lucía Jiménez,9,10,8,10,10,,19.0,37 (9),0,Cómo hablar,Eva Amaral (Amaral),,España,Castilla y León,Segovia,F,39,Cine
6,3,"Chained to the Rhythm, de Katy Perry",Lucía Jiménez,7,10,10,7,5,,13.0,34 (8),0,Chained to the Rhythm,Katy Perry,,España,Castilla y León,Segovia,F,39,Cine
6,4,"Time After Time, de Cyndi Lauper",Lucía Jiménez,10,10,10,9,10,,20.0,39 (10),0,Time After Time,Cyndi Lauper,,España,Castilla y León,Segovia,F,39,Cine
6,5,"Terriblemente cruel, de Leiva",Lucía Jiménez,9,9,10,10,9,,19.0,38 (10),0,Terriblemente cruel,Leiva,,España,Castilla y León,Segovia,F,39,Cine
6,6,"Baby, Can I Hold You, de Tracy Chapman",Lucía Jiménez,9,11,8,9,9,,18.0,37 (9),0,"Baby, Can I Hold You",Tracy Chapman,,España,Castilla y León,Segovia,F,39,Cine
6,7,"All I Wanna Do, de Sheryl Crow",Lucía Jiménez,8,10,6,6,6,,12.0,30 (6),0,All I Wanna Do,Sheryl Crow,,España,Castilla y León,Segovia,F,39,Cine
6,8,"Havana, de Camila Cabello",Lucía Jiménez,11,10,10,6,5,,15.0,37 (10),0,Havana,Camila Cabello,,España,Castilla y León,Segovia,F,39,Cine
6,9,"Andar conmigo, de Julieta Venegas",Lucía Jiménez,7,7,8,8,8,,16.0,30 (8),0,Andar conmigo,Julieta Venegas,,España,Castilla y León,Segovia,F,39,Cine
